date,fund_code,weight,fund_name,fund_type
2017-03-31,159938,0.03684329922378981,医药ETF广发,指数型-股票
2017-03-31,512600,0.019085735588138013,消费ETF嘉实,指数型-股票
2017-03-31,510900,0.021944588117100903,恒生中国企业ETF易方达,指数型-海外股票
2017-03-31,510630,0.015902198585202604,消费ETF华夏,指数型-股票
2017-03-31,159005,0.12,快钱ETF汇添富,货币型-普通货币
2017-03-31,511220,0.09746792099451534,城投债ETF海富通,指数型-固收
2017-03-31,511960,0.12,货币ETF嘉实,货币型-普通货币
2017-03-31,159940,0.02979917800967227,金融地产ETF广发,指数型-股票
2017-03-31,518880,0.03376526681876115,黄金ETF华安,指数型-其他
2017-03-31,511010,0.12,国债ETF国泰,指数型-固收
2017-03-31,518800,0.03422470222345262,黄金ETF国泰,指数型-其他
2017-04-28,511880,0.12,银华日利ETF,货币型-普通货币
2017-04-28,513100,0.028342237841282075,纳指ETF国泰,指数型-海外股票
2017-04-28,512600,0.02030925498148936,消费ETF嘉实,指数型-股票
2017-04-28,513600,0.034880527775237494,恒生指数ETF南方,指数型-股票
2017-04-28,513660,0.037472339714105955,恒生ETF华夏,指数型-股票
2017-04-28,159920,0.03731529679811101,恒生ETF华夏,指数型-海外股票
2017-04-28,159928,0.031926907489928415,消费ETF汇添富,指数型-股票
2017-04-28,511960,0.12,货币ETF嘉实,货币型-普通货币
2017-04-28,518800,0.04505696268121238,黄金ETF国泰,指数型-其他
2017-04-28,510880,0.04999427767057244,红利ETF华泰柏瑞,指数型-股票
2017-04-28,518880,0.043964073404212475,黄金ETF华安,指数型-其他
2017-04-28,512010,0.026231946788443254,医药ETF易方达,指数型-股票
2017-04-28,510660,0.041588967513138606,医药ETF华夏,指数型-股票
2017-04-28,159941,0.024160824034481786,纳指ETF广发,指数型-海外股票
2017-04-28,511900,0.12,富国货币ETF,货币型-普通货币
2017-04-28,159934,0.044011488535889265,黄金ETF易方达,指数型-其他
2017-04-28,159929,0.0460898301126493,医药ETF汇添富,指数型-股票
