date,alpha_set,fold,stitched_nav
2023-11-27,A_45_35_20,2020_2022_to_2023,1.0010529989714547
2023-11-28,A_45_35_20,2020_2022_to_2023,1.0020146606973666
2023-11-29,A_45_35_20,2020_2022_to_2023,1.0022591477118246
2023-11-30,A_45_35_20,2020_2022_to_2023,1.0020301153463547
2023-12-01,A_45_35_20,2020_2022_to_2023,1.0024461189672593
2023-12-04,A_45_35_20,2020_2022_to_2023,1.0022547240392086
2023-12-05,A_45_35_20,2020_2022_to_2023,0.9960838712306942
2023-12-06,A_45_35_20,2020_2022_to_2023,0.9972942922919337
2023-12-07,A_45_35_20,2020_2022_to_2023,0.9988853967809362
2023-12-08,A_45_35_20,2020_2022_to_2023,1.001411606820085
2023-12-11,A_45_35_20,2020_2022_to_2023,1.0056128118800334
2023-12-12,A_45_35_20,2020_2022_to_2023,1.006313567955677
2023-12-13,A_45_35_20,2020_2022_to_2023,1.0037528314583624
2023-12-14,A_45_35_20,2020_2022_to_2023,1.0029728744883142
2023-12-15,A_45_35_20,2020_2022_to_2023,1.002261833972829
2023-12-18,A_45_35_20,2020_2022_to_2023,0.9992929624722929
2023-12-19,A_45_35_20,2020_2022_to_2023,1.001060012296417
2023-12-20,A_45_35_20,2020_2022_to_2023,0.9966249023362082
2023-12-21,A_45_35_20,2020_2022_to_2023,0.998969505279975
2023-12-22,A_45_35_20,2020_2022_to_2023,0.9939374092066134
2023-12-25,A_45_35_20,2020_2022_to_2023,0.9929742596319154
2023-12-26,A_45_35_20,2020_2022_to_2023,0.9894154891312372
2023-12-27,A_45_35_20,2020_2022_to_2023,0.99099694908779
2023-12-28,A_45_35_20,2020_2022_to_2023,0.9945070920028716
2023-12-29,A_45_35_20,2020_2022_to_2023,0.9980826403358785
2024-01-02,A_45_35_20,2020_2023_to_2024,0.9980826403358785
2024-01-03,A_45_35_20,2020_2023_to_2024,0.9966697389646103
2024-01-04,A_45_35_20,2020_2023_to_2024,0.9962549846329442
2024-01-05,A_45_35_20,2020_2023_to_2024,0.9951718556047295
2024-01-08,A_45_35_20,2020_2023_to_2024,0.9935098581637961
2024-01-09,A_45_35_20,2020_2023_to_2024,0.9927950566520255
2024-01-10,A_45_35_20,2020_2023_to_2024,0.9924509936727048
2024-01-11,A_45_35_20,2020_2023_to_2024,0.9921703150037017
2024-01-12,A_45_35_20,2020_2023_to_2024,0.992185029648755
2024-01-15,A_45_35_20,2020_2023_to_2024,0.9931360001914041
2024-01-16,A_45_35_20,2020_2023_to_2024,0.9926932131653545
2024-01-17,A_45_35_20,2020_2023_to_2024,0.9907787030893409
2024-01-18,A_45_35_20,2020_2023_to_2024,0.9885062967414171
2024-01-19,A_45_35_20,2020_2023_to_2024,0.9905350142634018
2024-01-22,A_45_35_20,2020_2023_to_2024,0.9905406440399851
2024-01-23,A_45_35_20,2020_2023_to_2024,0.9906766267634369
2024-01-24,A_45_35_20,2020_2023_to_2024,0.9915061163893506
2024-01-25,A_45_35_20,2020_2023_to_2024,0.9908279348832408
2024-01-26,A_45_35_20,2020_2023_to_2024,0.991755327929924
2024-01-29,A_45_35_20,2020_2023_to_2024,0.9901747366592184
2024-01-30,A_45_35_20,2020_2023_to_2024,0.9902839661221443
2024-01-31,A_45_35_20,2020_2023_to_2024,0.9912068792939639
2024-02-01,A_45_35_20,2020_2023_to_2024,0.9914838175854784
2024-02-02,A_45_35_20,2020_2023_to_2024,0.9923221637487654
2024-02-05,A_45_35_20,2020_2023_to_2024,0.9928758279037645
2024-02-06,A_45_35_20,2020_2023_to_2024,0.9935824034118598
2024-02-07,A_45_35_20,2020_2023_to_2024,0.9948508489485121
2024-02-08,A_45_35_20,2020_2023_to_2024,0.9949295071124218
2024-02-19,A_45_35_20,2020_2023_to_2024,0.9969769553850725
2024-02-20,A_45_35_20,2020_2023_to_2024,0.9971778307060417
2024-02-21,A_45_35_20,2020_2023_to_2024,0.9989252618897545
2024-02-22,A_45_35_20,2020_2023_to_2024,1.0014156697867376
2024-02-23,A_45_35_20,2020_2023_to_2024,1.0014720988097756
2024-02-26,A_45_35_20,2020_2023_to_2024,0.9996461045128859
2024-02-27,A_45_35_20,2020_2023_to_2024,1.0002070424999587
2024-02-28,A_45_35_20,2020_2023_to_2024,0.9998452623461564
2024-02-29,A_45_35_20,2020_2023_to_2024,1.0009202863339883
2024-03-01,A_45_35_20,2020_2023_to_2024,1.0017944644785044
2024-03-04,A_45_35_20,2020_2023_to_2024,1.0029600791554962
2024-03-05,A_45_35_20,2020_2023_to_2024,1.0046858532859233
