,combo_eff_accel,momentum_12_1,fund_hit_rate_20,vol_60d,max_drawdown_60d
2024-08-30,1.4930006699285472,2.455868990543274,0.3535986489377517,-5.047870895555925,3.843270114254811
2024-09-30,1.4426909136929005,2.241716430336231,0.2676369687384036,-4.803877685888631,3.748868835185476
2024-10-31,1.7331244248335955,1.8475819498634973,0.18937610664315313,-4.403121415304293,3.657531928256916
2024-11-29,1.6960014778276065,2.482462892666025,-0.027832854126021267,-5.015198499598125,3.8123936531164926
2024-12-31,1.7463881543375757,2.4946945410788275,0.020529642226970103,-5.203271266270627,4.011918185352027
2025-01-27,1.666444309308207,2.66575844106216,0.03506763378693837,-4.597720754210023,3.7323428097261817
2025-02-28,1.4102922964728661,2.233389373805614,0.035318193883532696,-5.1352679887614245,3.993668724938259
2025-03-31,1.8244664294974835,2.0593017313736937,0.3210685263499754,-5.4842713025506304,4.346532836224026
2025-04-30,1.6762375302262518,1.8483606107145945,0.287284392804909,-5.690129795727789,4.654632193580949
2025-05-30,1.804270865749,2.2964721336605223,0.09255038235378704,-5.082519682427904,4.170455705294377
2025-06-30,2.1403478727493095,2.337413087618732,0.244467793273189,-4.723781811381725,4.332647839087959
2025-07-31,2.622670150497209,2.6699883214293116,0.3416883700193852,-4.337948685250524,4.345751052816457
2025-08-29,3.1779906933612345,2.956632130578279,0.5902725065975036,-3.9392564773453995,4.670950261011293
2025-09-30,3.108148584539222,2.3648451649037714,0.2918408338613032,-4.509629641519681,4.5301507820082065
2025-10-31,3.7073729825427497,1.9099282284245096,0.49355002968440287,-5.147709847339474,4.9518321568435235
2025-11-28,3.4509389322718063,2.288848819913601,0.4220092103512517,-4.723122338155996,4.856559612103215
2025-12-31,3.865118831518902,2.767699611440695,0.674727922691224,-4.213480327722443,4.8144525614116525
2026-01-30,4.033125797144687,2.8165602996281756,0.9191818398768136,-4.273494972995476,4.887715669677602
2026-02-27,4.518298980027681,2.4405765387611074,0.9378104443130003,-4.876247278176782,5.087969811743908
2026-03-31,4.303958544144175,3.0615602049296657,0.7411899584457718,-4.584827480791228,4.89804960972835
2026-04-30,5.025562391538254,3.4162547514724646,1.3187902744608975,-4.539082392004893,5.5395968628044985
2026-05-29,5.079941260740706,3.2833852965230577,1.362985200111701,-4.77641636486864,5.766434548078624
