date,total_vol_strategy,downside_vol_strategy,hs300_close,hs300_nav,total_vol_dd,downside_vol_dd,hs300_dd
2020-03-03,1.0262891378788814,1.0015413320353697,4091.362,1.0807589103870998,-0.012234909354665757,0.0,-0.014008468510588123
2020-03-04,1.03284100245108,1.0016224547740733,4115.052,1.0870167723379784,-0.005928983603147864,0.0,-0.00829933317106435
2020-03-05,1.040731668467262,1.0016224547740733,4206.725,1.1112327697471338,0.0,0.0,0.0
2020-03-06,1.0396038088655903,1.0017847002514806,4138.507,1.0932125575662544,-0.001083717960973285,0.0,-0.016216415382512506
2020-03-09,1.0271211870680603,1.0018658229901842,3997.133,1.055867729561041,-0.01307780075458509,0.0,-0.04982308090022525
2020-03-10,1.0319778597783278,1.0018658229901842,4082.732,1.078479241808118,-0.008411206225545587,0.0,-0.02947494785135707
2020-03-11,1.0273401702960216,1.0019469457288879,4028.429,1.064134764074114,-0.01286738798960807,0.0,-0.0423835644117454
2020-03-12,1.0144679864806054,1.0019469457288879,3950.911,1.0436578986157683,-0.025235786305356167,0.0,-0.06081072568328105
2020-03-13,1.0098331064166064,1.0021091912062952,3895.313,1.0289713385167838,-0.029689268604809138,0.0,-0.0740271826658504
2020-03-16,0.9864458452509868,1.0021903139449988,3727.84,0.9847322961149482,-0.05216121009964536,0.0,-0.11383796183491912
2020-03-17,0.9824760570222881,1.0021903139449988,3709.682,0.9799357466297622,-0.05597563061645838,0.0,-0.11815438375458354
2020-03-18,0.979365541254621,1.0022714366837022,3636.257,0.9605400727697683,-0.05896440847525852,0.0,-0.13560857912033708
2020-03-19,0.9758633886003563,1.002352559422406,3589.093,0.9480814066215523,-0.062329495519667044,0.0,-0.1468201510676358
2020-03-20,0.9830222104069893,1.0024336821611097,3653.224,0.9650220121416787,-0.05545085232705982,0.0,-0.13157527530323465
2020-03-23,0.9740980799981933,1.0025148048998134,3530.306,0.9325524521890366,-0.0640257143007894,0.0,-0.1607946799469896
2020-03-24,0.993273733800317,1.0025148048998134,3625.115,0.9575968436496041,-0.04560054825355586,0.0,-0.1382571953241537
2020-03-25,1.0042938063733913,1.002595927638517,3722.518,0.9833264564651982,-0.035011774118043903,0.0,-0.11510307899850836
2020-03-26,1.0080371563467736,1.002595927638517,3698.047,0.9768622884702658,-0.03141492962219483,0.0,-0.12092019326197934
2020-03-27,1.0074052591202625,1.0027581731159243,3710.061,0.9800358618547257,-0.032022095951092844,0.0,-0.11806428991674045
2020-03-30,1.0050857769991517,1.0027581731159243,3674.111,0.9705394440778542,-0.03425079926760355,0.0,-0.12661013020817868
2020-03-31,1.0093564693671666,1.0027581731159243,3686.155,0.973720942150306,-0.03014725125670792,0.0,-0.12374709542458795
2020-04-01,1.0029001083691351,1.002839295854628,3675.076,0.9707943548749247,-0.03635092622274416,0.0,-0.126380735607866
2020-04-02,1.0057908010859657,1.002839295854628,3734.531,0.9864997656933917,-0.03357336808320199,0.0,-0.11224741336788124
2020-04-03,1.0067868602984331,1.0030826640707389,3713.218,0.9808698031877321,-0.032616292169547534,0.0,-0.11731382488753139
2020-04-07,1.0168016532206914,1.0030826640707389,3798.021,1.0032710470467594,-0.022993453520842366,0.0,-0.09715491266959453
2020-04-08,1.0163567424920814,1.0031637868094425,3780.345,0.9986018208819755,-0.02342095154179258,0.0,-0.10135675614640849
2020-04-09,1.0183877330301427,1.0031637868094425,3792.811,1.0018947928988458,-0.021469448959909432,0.0,-0.09839340579667066
2020-04-10,1.0174793943479705,1.0032449095481464,3769.178,0.9956519878551515,-0.02234223750828712,0.0,-0.10401131521551799
2020-04-13,1.0174135548323218,1.00332603228685,3753.257,0.9914463559378895,-0.02240550022781762,0.0,-0.10779596954875814
2020-04-14,1.023309489929237,1.0034071550255539,3825.699,1.010582364188018,-0.01674031747653415,0.0,-0.09057544764632819
2020-04-15,1.0214475406080452,1.0034071550255539,3797.362,1.0030969680672057,-0.018529394697499257,0.0,-0.09731156659871976
2020-04-16,1.0236496028229833,1.0034882777642578,3802.381,1.004422768368238,-0.016413515761883546,0.0,-0.09611847696248266
2020-04-17,1.0225849362168855,1.0035694005029614,3839.487,1.0142245507890613,-0.017436513945138343,0.0,-0.08729783857989282
2020-04-20,1.0236807076786463,1.0035694005029614,3853.455,1.0179142855180554,-0.01638362827348916,0.0,-0.08397744088334747
2020-04-21,1.0217367121421652,1.003650523241665,3808.047,1.0059194777736276,-0.018251540623407503,0.0,-0.09477158597246083
2020-04-22,1.026197253040424,1.003650523241665,3839.383,1.0141970785373562,-0.013965574285102367,0.0,-0.08732256089951207
2020-04-23,1.0276794948993881,1.0037316459803687,3829.753,1.0116532536919802,-0.012541343713597719,0.0,-0.08961175261040344
2020-04-24,1.0271825923688103,1.0038127687190725,3796.972,1.002993947123312,-0.013018798705728085,0.0,-0.09740427529729168
2020-04-27,1.029621670588554,1.0038127687190725,3822.769,1.009808386327483,-0.010675179986663008,0.0,-0.09127195145867639
2020-04-28,1.0303675887842065,1.003893891457776,3849.147,1.016776300322429,-0.009958455187896065,0.0,-0.08500151543064982
2020-04-29,1.0310447647932663,1.003893891457776,3867.032,1.0215007351468894,-0.009307782176228074,0.0,-0.0807499895999857
2020-04-30,1.0312371555085875,1.0040561369351835,3912.577,1.0335317322998132,-0.009122921158589925,0.0,-0.06992327760906636
2020-05-06,1.0315294495705285,1.0041210351261465,3936.254,1.0397861602192287,-0.008842066764708112,0.0,-0.06429490874730337
2020-05-07,1.032529856056985,1.0041372596738871,3924.895,1.0367856091892569,-0.007880813718637136,0.0,-0.06699510902186379
2020-05-08,1.0374096688863617,1.0042995051512944,3963.622,1.047015588917905,-0.0031919847176293814,0.0,-0.05778913525367135
2020-05-11,1.0339838431931931,1.0042995051512944,3960.18,1.0461063630489762,-0.0064837320497864726,0.0,-0.058607348947221416
2020-05-12,1.0362683296280784,1.0042995051512944,3960.238,1.046121684112427,-0.0042886547747289505,0.0,-0.05859356149974149
2020-05-13,1.0390501328937394,1.004380627889998,3968.253,1.0482388965875766,-0.0016157244220300626,0.0,-0.056688278886782406
2020-05-14,1.0367888200015702,1.004380627889998,3925.218,1.0368709316633022,-0.0037885351096298425,0.0,-0.0669183272022773
2020-05-15,1.037912953873334,1.0045428733674053,3912.816,1.0335948656474814,-0.002708397062692658,0.0,-0.06986646381686468
2020-05-18,1.0462062669662258,1.0045428733674053,3922.912,1.0362617873129971,0.0,0.0,-0.06746649709691044
2020-05-19,1.0479070780546993,1.0045428733674053,3956.25,1.045068228922047,0.0,0.0,-0.05954156737129235
2020-05-20,1.0471216082078487,1.004623996106109,3935.222,1.03951355095231,-0.0007495605891971735,0.0,-0.06454023022660138
2020-05-21,1.0454877923816204,1.004623996106109,3913.795,1.0338534746322814,-0.0023086833973581244,0.0,-0.06963374121198784
2020-05-22,1.0368730221085962,1.0047051188448126,3824.064,1.0101504686924634,-0.010529612956318934,0.0,-0.09096411103649527
2020-05-25,1.041110696456767,1.0047862415835163,3829.325,1.0115401948099634,-0.006485672003045284,0.0,-0.08971349446422094
2020-05-26,1.0479082609614503,1.0047862415835163,3872.77,1.0230164638034593,0.0,0.0,-0.07938598315791978
2020-05-27,1.0426515655098727,1.0048673643222201,3845.614,1.0158430362332584,-0.005016369893634187,0.0,-0.08584136115386676
2020-05-28,1.0424297856706688,1.0048673643222201,3856.632,1.0187535099763898,-0.0052280104040357545,0.0,-0.08322222156190384
2020-05-29,1.0472590184140302,1.0049484870609238,3867.023,1.021498357740492,-0.000619560482159387,0.0,-0.0807521290314912
2020-06-01,1.0559079194329881,1.0050296097996274,3971.34,1.0490543469819356,0.0,0.0,-0.05595445388039377
2020-06-02,1.0545746498506667,1.0050296097996274,3983.568,1.0522844498074038,-0.0012626759945482124,0.0,-0.0530476796082463
2020-06-03,1.0549248916158172,1.0050296097996274,3983.648,1.0523055823087153,-0.0009309787331633901,0.0,-0.05302866243930848
2020-06-04,1.0556951430780186,1.005110732538331,3982.185,1.0519191216909805,-0.0002015103315863298,0.0,-0.053376438916259095
2020-06-05,1.058342065985832,1.005191855277035,4001.251,1.0569555250660523,0.0,0.0,-0.048844172129150376
2020-06-08,1.056919741692282,1.005191855277035,4021.955,1.0624246164054778,-0.0013439173772471502,0.0,-0.043922528808039485
2020-06-09,1.0609317111849688,1.005191855277035,4047.029,1.069048070629046,0.0,0.0,-0.03796207263369955
2020-06-10,1.06447072913222,1.0052729780157386,4039.705,1.0671133901339749,0.0,0.0,-0.03970309444995801
2020-06-11,1.0607823383634238,1.0052729780157386,3995.885,1.055538062540581,-0.0034649997109859054,0.0,-0.05011974873565539
