file,path,exists,size_mb,pandas_readable,pandas_error,duckdb_readable,duckdb_error,columns,rows,nonnull_rate_json,date_min,date_max,n_code,duplicate_key_rows_est,key_fields,list_date_min,list_date_max,n_tracking_index,n_index_code,report_date_min,report_date_max,n_industry,delist_date_min,delist_date_max
part_0002_2023.parquet,data/raw/etf_daily_parts/part_0002_2023.parquet,True,0.0922,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.5812, ""amount"": 0.5812}",2023-01-03,2023-12-29,60.0,0.0,date;code,,,,,,,,,
part_0002_2024.parquet,data/raw/etf_daily_parts/part_0002_2024.parquet,True,0.1086,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14520,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.6996, ""amount"": 0.6996}",2024-01-02,2024-12-31,60.0,0.0,date;code,,,,,,,,,
part_0002_2025.parquet,data/raw/etf_daily_parts/part_0002_2025.parquet,True,0.1429,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,14580,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.9615, ""amount"": 0.9615}",2025-01-02,2025-12-31,60.0,0.0,date;code,,,,,,,,,
part_0002_2026.parquet,data/raw/etf_daily_parts/part_0002_2026.parquet,True,0.0465,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,4080,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 1.0, ""amount"": 1.0}",2026-01-05,2026-04-17,60.0,0.0,date;code,,,,,,,,,
part_0003_2014.parquet,data/raw/etf_daily_parts/part_0003_2014.parquet,True,0.0065,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13475,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2014-01-02,2014-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2015.parquet,data/raw/etf_daily_parts/part_0003_2015.parquet,True,0.0065,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13420,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2015-01-05,2015-12-31,55.0,0.0,date;code,,,,,,,,,
part_0003_2016.parquet,data/raw/etf_daily_parts/part_0003_2016.parquet,True,0.0065,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13420,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2016-01-04,2016-12-30,55.0,0.0,date;code,,,,,,,,,
part_0003_2017.parquet,data/raw/etf_daily_parts/part_0003_2017.parquet,True,0.0065,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13420,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2017-01-03,2017-12-29,55.0,0.0,date;code,,,,,,,,,
part_0003_2018.parquet,data/raw/etf_daily_parts/part_0003_2018.parquet,True,0.0065,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13365,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2018-01-02,2018-12-28,55.0,0.0,date;code,,,,,,,,,
part_0003_2019.parquet,data/raw/etf_daily_parts/part_0003_2019.parquet,True,0.0066,False,OSError: Repetition level histogram size mismatch,True,,date;code;nav;close;amount,13420,"{""date"": 1.0, ""code"": 1.0, ""nav"": 0.0, ""close"": 0.0, ""amount"": 0.0}",2019-01-02,2019-12-31,55.0,0.0,date;code,,,,,,,,,
