date,S0 三因子·原风险层(现状),S1 三因子·松风险层,S2 +low_corr(0.20)·松,S3 ++resid_mom(0.20)·松,S4 +++dd_resil(0.15)·松
2023-02-14,1.3930864980027249,1.4633502467711628,1.2850343800977932,1.290254026716564,1.267833346838344
2023-02-15,1.3914235991507975,1.4616034755198355,1.2835004608484033,1.2887138768817925,1.2663199601104451
2023-02-16,1.3880211064500485,1.4580293697192148,1.2803618760550235,1.2855625435551763,1.263223387345891
2023-02-17,1.38854461373513,1.4585792813836442,1.2808447784882364,1.2860474074768067,1.263699825811335
2023-02-20,1.3910242111669893,1.4611839434193519,1.2831320506377475,1.2883439702356012,1.265956481313598
2023-02-21,1.393281715161261,1.4635553101879202,1.2852144556068623,1.2904348336695044,1.26801101191788
2023-02-22,1.3978952153784612,1.4684015036518565,1.2894701184104216,1.294707782435453,1.2722097098662115
2023-02-23,1.3943192867273064,1.4646452142314899,1.2861715498979145,1.2913958155561396,1.2689552948701948
2023-02-24,1.3937278178416614,1.46402391315578,1.2856259571770736,1.2908480067068864,1.2684170052679962
2023-02-27,1.3898934960389195,1.4599961978887905,1.2820890372887925,1.2872967202987504,1.2649274293866744
2023-02-28,1.3885548675311035,1.4585900523550739,1.2808542369679303,1.286056904375645,1.263709157683036
2023-03-01,1.3874702355831066,1.457450714323277,1.2799568998714266,1.2851066829088476,1.2627634978756546
2023-03-02,1.3868006829103634,1.4567473911123423,1.2795608889309753,1.2851030563803498,1.2628881314039928
2023-03-03,1.3901671289111974,1.4602836321089532,1.2820190670039038,1.2878172520076567,1.265591230691945
2023-03-06,1.3921344263022553,1.4623501549894808,1.2839724183862788,1.2903278779980236,1.2682526294916492
2023-03-07,1.3880518157035069,1.4580616278695107,1.2809960378062923,1.2869373961639259,1.264205875073629
2023-03-08,1.3844750166742843,1.4543044241714143,1.2772096469221448,1.2837917655254334,1.2614398345559135
2023-03-09,1.3847847981197017,1.4546298302070384,1.2776444518506347,1.2841221413617476,1.2616737354082723
2023-03-10,1.381393459258495,1.4510674408173296,1.2747247015799354,1.2810883519556353,1.2586332834822263
2023-03-13,1.3849980938921724,1.4548538840771517,1.277213094704643,1.283835049734173,1.2610381911232136
2023-03-14,1.3846672711952814,1.4545063755227101,1.2770913567038409,1.2840461050827112,1.2613289212900722
2023-03-15,1.3812745222099734,1.4509425048858178,1.274020783042216,1.282203551186044,1.2600584948032925
2023-03-16,1.3790752878373054,1.44863234671074,1.2715026662428048,1.2809929644758165,1.2595971082631072
2023-03-17,1.3804131763577978,1.4500377149340498,1.2721868477438867,1.2819249404198734,1.2603555762021703
2023-03-20,1.386713291890494,1.456655592311137,1.278581756389959,1.287798556935395,1.2660915465258036
2023-03-21,1.3890251429146419,1.4590840472358921,1.2800400863326888,1.2889366843301806,1.267333174686229
2023-03-22,1.3889768581232091,1.4590333270820757,1.2799858806346487,1.288958578869879,1.267369435522992
2023-03-23,1.3945183073403735,1.464854272939374,1.2850700267198758,1.2933104788450127,1.2713871338586773
2023-03-24,1.3904297435620057,1.4605594923765073,1.2817766821744094,1.2901901198096173,1.268620473563343
2023-03-27,1.3915886462548106,1.461776847181059,1.2832798747953693,1.2907082618987176,1.268793213213776
2023-03-28,1.3914627247600169,1.4616445745255244,1.2835692554653912,1.2912684938043526,1.2691959097944894
2023-03-29,1.3931553199113655,1.4634225398822778,1.2855305342635701,1.2931068936058598,1.270957021193818
2023-03-30,1.3979594987392467,1.4684690293022757,1.2897552326288246,1.2959131703168316,1.272708650194104
2023-03-31,1.4014269911566726,1.4721114132403816,1.2923622003072577,1.2987803004450655,1.2756825017825868
2023-04-03,1.3989531921796483,1.4695128421188608,1.2895703472023976,1.2965224421833552,1.273841562767179
2023-04-04,1.4014053581937493,1.4720886891656906,1.2918307806435445,1.298990500562509,1.2770195563224294
2023-04-06,1.3999594248433547,1.4705698266053626,1.290497903472869,1.2964898541667804,1.2756036226023277
2023-04-07,1.4078782066676794,1.4788880116953527,1.2977975231339842,1.3042692368623308,1.2846988778329347
2023-04-10,1.3890251466445924,1.4590840511539722,1.2804185662855998,1.2856384827456606,1.2646502655397815
2023-04-11,1.3971796499224494,1.467649846889597,1.2879354765597062,1.2933611000202712,1.2726208017366176
2023-04-12,1.410679338396573,1.4818304254023207,1.3003796369862435,1.3065276590444839,1.2870558154301475
2023-04-13,1.4055563810592238,1.4764490790935623,1.2956572389037633,1.3025407274028482,1.281477658892468
2023-04-14,1.4074481896555213,1.4784363057160332,1.2974011287508331,1.3040249962809025,1.2825004549036363
2023-04-17,1.3981841402200326,1.4687050011294487,1.288861426698036,1.2952113275234753,1.2723731105708418
2023-04-18,1.3990136652907688,1.4695763653402891,1.2896260919773765,1.2945202560314688,1.272843548836514
2023-04-19,1.3989474898924124,1.4695068522227233,1.289565090771681,1.2951177831183973,1.2728839879510019
2023-04-20,1.4102607684843838,1.4813907438856515,1.2999937946649935,1.3045929169697472,1.2845914490508572
2023-04-21,1.3964762188614828,1.4669109365504849,1.2872870461171477,1.291211644700533,1.268895297487008
2023-04-24,1.402038546511021,1.4727538138953187,1.2924144605570065,1.2958412511288488,1.274891874919149
2023-04-25,1.4068952706434112,1.4778554988716803,1.2968914419604476,1.301643335649968,1.2796012065838287
2023-04-26,1.4007311410407255,1.471380466209924,1.2912092799007213,1.2955952855345514,1.2731276032000998
2023-04-27,1.3917102043206508,1.4619045363273542,1.2828936818069263,1.2876250737035644,1.2646026023674406
2023-04-28,1.4093849549305184,1.4804707565180244,1.299186460155836,1.3048006829839,1.2841484811952169
2023-05-04,1.415936850884201,1.487920248585827,1.3055925675027669,1.3110368404039434,1.2910636843253682
2023-05-05,1.4174070686073712,1.4903802661665493,1.3076340812541514,1.3120804172163543,1.292091362635226
2023-05-08,1.42010137675476,1.4950636029837296,1.309688441002637,1.3145919476710854,1.294564630862518
2023-05-09,1.4140595650633188,1.4844238894548667,1.304008912092793,1.3095709914706959,1.2896201670525507
2023-05-10,1.4099696563778379,1.4772299735218857,1.2980930218119204,1.3027609515810517,1.282913875574412
2023-05-11,1.4106484778418056,1.4783772911692603,1.2991323140772983,1.3038088594144577,1.2839458189237796
2023-05-12,1.405923423566865,1.4700099486833138,1.2935747998136478,1.2978880042605891,1.2781151657844254
2023-05-15,1.409209229943609,1.4756980921543656,1.2979363944272007,1.301944626387258,1.2821099867897294
2023-05-16,1.4056294009851684,1.4694122318059386,1.2947891595671273,1.2966203134113634,1.2768667877313093
2023-05-17,1.4023397247987468,1.4636428354381747,1.290695455228489,1.2944149686404882,1.2746950405634596
2023-05-18,1.40561631374431,1.4693124138009543,1.2945946784365268,1.30005219382841,1.2802463847333516
2023-05-19,1.4024067228812378,1.4636148311039874,1.2907509238792296,1.2954477358759375,1.2757120739762193
2023-05-22,1.4031486606879184,1.464860177071481,1.2925307178013559,1.295989708679291,1.2762457900265527
2023-05-23,1.3992351248608415,1.458013064316203,1.2869328436723442,1.288904667315134,1.269268686618545
2023-05-24,1.3952459966595392,1.4510552237675038,1.2823772747311868,1.284965795410466,1.2653898219546356
2023-05-25,1.3914061801929953,1.4443622164108942,1.2772044044139417,1.2800399693683187,1.260539039030518
2023-05-26,1.3944616174726878,1.4495369611737423,1.2796701212284856,1.2830786583098157,1.26353143468213
2023-05-29,1.3935377898819783,1.447891696200598,1.2780022213826308,1.2829312154867412,1.2633862380953373
2023-05-30,1.3975849421742228,1.454862804197546,1.2822192912593355,1.2883975192489607,1.2687692647635416
2023-05-31,1.3963623059738233,1.4527116302686434,1.2808634816692537,1.2882809701327609,1.2686544912295503
2023-06-01,1.39855208734323,1.456463711665099,1.2831338569703197,1.2917778665709387,1.2721113179868404
