date,wf_5factor_select,f3_baseline
2023-06-13,1.0037722438022525,1.0037722438022525
2023-06-14,1.0038275667229986,1.0038275667229986
2023-06-15,1.0053052477692401,1.0053052477692401
2023-06-16,1.0071351550715526,1.0071351550715526
2023-06-19,1.0090010836345498,1.0090010836345498
2023-06-20,1.0099722379381328,1.0099722379381328
2023-06-21,1.0071462346409878,1.0071462346409878
2023-06-26,1.0059984905870387,1.0059984905870387
2023-06-27,1.0075790680735728,1.0075790680735728
2023-06-28,1.0070876381465164,1.0070876381465164
2023-06-29,1.0076488961143506,1.0076488961143506
2023-06-30,1.010288413890499,1.010288413890499
2023-07-03,1.0121144995753133,1.0121144995753133
2023-07-04,1.0132571675308812,1.0132571675308812
2023-07-05,1.0111616668949652,1.0111616668949652
2023-07-06,1.0096856502718945,1.0096856502718945
2023-07-07,1.0085736949708792,1.0085736949708792
2023-07-10,1.0080759636904746,1.0080759636904746
2023-07-11,1.0116654479057021,1.0116654479057021
2023-07-12,1.0115314678819043,1.0115314678819043
2023-07-13,1.0149738180171466,1.0149738180171466
2023-07-14,1.0152712480229824,1.0152712480229824
