fold,candidate_id,factor_preset,risk_preset,portfolio_preset,w_combo_eff_accel,w_momentum_12_1,w_fund_hit_rate_20,w_vol_60d,w_max_drawdown_60d,top_n,max_per_theme,max_weight,volatility_target,weak_market_exposure,train_start,train_end,train_trading_days,train_total_return,train_annual_return,train_annual_volatility,train_sharpe_rf0,train_max_drawdown,train_calmar,test_start,test_end,test_trading_days,test_total_return,test_annual_return,test_annual_volatility,test_sharpe_rf0,test_max_drawdown,test_calmar,selection_score
2020_2022_to_2023,mom_heavy__risk_defensive__balanced,mom_heavy,risk_defensive,balanced,0.35,0.45,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3076574535900731,0.09973743937288959,0.07809317439565261,1.2771594975455614,-0.06662802251872424,1.4969293039555651,2023-01-03,2023-12-29,242,-0.009249123058495123,-0.00962947223986177,0.035856871270710626,-0.2685530526955797,-0.03228940721405249,-0.29822387806707645,2.1520637611554285
2020_2022_to_2023,mom_heavy__risk_defensive__defensive,mom_heavy,risk_defensive,defensive,0.35,0.45,0.2,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.19762482758791333,0.06600506347173063,0.07195562607254707,0.917302330260917,-0.08195202417943215,0.8054110210531713,2023-01-03,2023-12-29,242,-0.021342416256785568,-0.022214466718183945,0.038124711419592026,-0.5826789473550764,-0.037392874213442506,-0.5940828883969016,1.2560887058297792
2020_2022_to_2023,hit_quality__risk_light__balanced,hit_quality,risk_light,balanced,0.4,0.3,0.3,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3690630554031922,0.11777042780906677,0.07984069584102803,1.4750676527614586,-0.06402571430078985,1.8394238798459435,2023-01-03,2023-12-29,242,0.004741844935569395,0.004938271974891384,0.04296052155291951,0.11494906943362723,-0.030603032822031806,0.1613654438633354,2.603830062980811
2020_2022_to_2023,hit_quality__risk_light__defensive,hit_quality,risk_light,defensive,0.4,0.3,0.3,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.21985088263265817,0.0729753191331024,0.0726289562132687,1.0047689370451178,-0.08187265399663857,0.891327147353725,2023-01-03,2023-12-29,242,-0.01121575221317428,-0.011676496865778763,0.04773224982509752,-0.2446249005350526,-0.03357799001416972,-0.3477425796139479,1.3892629484445158
2020_2022_to_2023,hit_quality__risk_balanced__balanced,hit_quality,risk_balanced,balanced,0.4,0.3,0.3,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3112991385353372,0.10082196133584476,0.07856920077468654,1.2832249830944904,-0.06785519563241948,1.4858399625285965,2023-01-03,2023-12-29,242,0.009892610246151401,0.010303494700265814,0.03880359229637422,0.2655294030915938,-0.022216179403963143,0.46378337665151254,2.1439358369275543
2020_2022_to_2023,hit_quality__risk_balanced__defensive,hit_quality,risk_balanced,defensive,0.4,0.3,0.3,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.18487348763740452,0.06196838653792103,0.071544311558996,0.8661539287693252,-0.08189088933277355,0.7567189347047506,2023-01-03,2023-12-29,242,-0.0061063344418544885,-0.006357858507370473,0.04176850387270883,-0.15221657272537936,-0.025389645873756916,-0.25041146847747264,1.179834647691987
2020_2022_to_2023,hit_quality__risk_defensive__balanced,hit_quality,risk_defensive,balanced,0.4,0.3,0.3,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.2978904669661617,0.09681909437207037,0.07670786843544161,1.2621794393042565,-0.06866208496028503,1.410080897311401,2023-01-03,2023-12-29,242,0.00861396213440413,0.008971503021713012,0.03600292283171433,0.24918818573835833,-0.02187333431014815,0.41015708416940694,2.055249121669422
2020_2022_to_2023,hit_quality__risk_defensive__defensive,hit_quality,risk_defensive,defensive,0.4,0.3,0.3,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.18559531903353355,0.06219764265577732,0.0705811085656373,0.8812222409051037,-0.08213876377224005,0.7572264275640083,2023-01-03,2023-12-29,242,-0.008443212305379921,-0.008790567468108024,0.0389444071691105,-0.2257209213619878,-0.024226057300965054,-0.3628558852520277,1.1878669874583287
2020_2022_to_2023,eff_heavy__risk_light__balanced,eff_heavy,risk_light,balanced,0.55,0.3,0.15,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.3706321905635288,0.1182243274716952,0.0812583891136157,1.4549184245628304,-0.06509764186957911,1.8161076818812203,2023-01-03,2023-12-29,242,-0.0008562738155164507,-0.0008916412518689132,0.04290502413242956,-0.020781744560189407,-0.038438796486013005,-0.02319638837270467,2.570130236963694
2020_2022_to_2023,eff_heavy__risk_light__defensive,eff_heavy,risk_light,defensive,0.55,0.3,0.15,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.22465500486546075,0.07447113016805473,0.07209479276565989,1.0329612904238312,-0.08178087854086413,0.9106178791029143,2023-01-03,2023-12-29,242,-0.015167867528567247,-0.015789664928472003,0.0464944465245456,-0.33960324530664615,-0.03854956748563887,-0.4095938283705578,1.423443650128425
2020_2022_to_2023,eff_heavy__risk_balanced__balanced,eff_heavy,risk_balanced,balanced,0.55,0.3,0.15,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.32038905882275204,0.10352055296583806,0.0796291300867715,1.300033704412345,-0.06521984101286726,1.5872555246710036,2023-01-03,2023-12-29,242,0.005455431383502463,0.005681501640474762,0.041068992173227244,0.13834042034706945,-0.030235410954513653,0.18790886120324443,2.2564227328536615
2020_2022_to_2023,eff_heavy__risk_balanced__defensive,eff_heavy,risk_balanced,defensive,0.55,0.3,0.15,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.20865432732056233,0.06947433899405553,0.07151707778534883,0.9714370489601887,-0.08189872918053054,0.8482956901676979,2023-01-03,2023-12-29,242,-0.0109613098301663,-0.011411662388813415,0.04603729941812197,-0.24787862305236275,-0.03457045170688278,-0.33009873534690953,1.3278020195545548
2020_2022_to_2023,eff_heavy__risk_defensive__balanced,eff_heavy,risk_defensive,balanced,0.55,0.3,0.15,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2022-12-30,711,0.31881912618299735,0.10305533420280688,0.0782250754036598,1.3174207077592075,-0.06460832938333982,1.5950781452860343,2023-01-03,2023-12-29,242,0.010006442022894246,0.010422078772919452,0.04038671988251858,0.2580570742867052,-0.025215177572742498,0.4133256148148517,2.2730120015753714
2020_2022_to_2023,eff_heavy__risk_defensive__defensive,eff_heavy,risk_defensive,defensive,0.55,0.3,0.15,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2022-12-30,711,0.19974273159551115,0.06667283508750677,0.07097928930637835,0.939328017215233,-0.08094572146744972,0.8236733687563409,2023-01-03,2023-12-29,242,-0.010380011119734633,-0.010806611352949247,0.04572433991350249,-0.23634264318287146,-0.03464871011739312,-0.3118907259847602,1.286200934173986
2020_2023_to_2024,base__risk_light__balanced,base,risk_light,balanced,0.45,0.35,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.4008003274221781,0.09311390917486673,0.072834634355602,1.2784290056328809,-0.0640257143007894,1.4543205053117023,2024-01-02,2024-12-31,243,0.06006963547055677,0.06236243504996697,0.06202963768815358,1.0053651347036152,-0.03740998274079688,1.666999834831749,2.1080791055651815
2020_2023_to_2024,base__risk_light__defensive,base,risk_light,defensive,0.45,0.35,0.2,-0.15,0.1,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.2040639450825763,0.05027651691933821,0.06595780145681547,0.7622527708455494,-0.08176264108478981,0.6149081811973303,2024-01-02,2024-12-31,243,0.08079563457929329,0.08391030227319596,0.05978669496605236,1.40349457886644,-0.034051204835878646,2.464238862549216,0.9802915045373791
2020_2023_to_2024,base__risk_balanced__balanced,base,risk_balanced,balanced,0.45,0.35,0.2,-0.2,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.33422370139364244,0.07914366693645558,0.07165010361200004,1.1045855197228285,-0.06637830943911593,1.1923121815726325,2024-01-02,2024-12-31,243,0.06549564146496145,0.06800210831331932,0.057092329918919674,1.191090088806908,-0.03091599199672579,2.199577109494698,1.7509876201827166
2020_2023_to_2024,base__risk_balanced__defensive,base,risk_balanced,defensive,0.45,0.35,0.2,-0.2,0.2,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.17171651669308052,0.042748423681200576,0.06602714573961109,0.6474370988227481,-0.08171666823166446,0.523129792321072,2024-01-02,2024-12-31,243,0.07590872477490662,0.07882821716524102,0.05753893343137748,1.3699978860270972,-0.03280523167506866,2.402916033211524,0.8273642194572142
2020_2023_to_2024,base__risk_defensive__balanced,base,risk_defensive,balanced,0.45,0.35,0.2,-0.25,0.2,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.30756226038362167,0.07340508127686007,0.06974169542150858,1.0525279150902558,-0.07083073616883773,1.036345028264085,2024-01-02,2024-12-31,243,0.06405091444676803,0.06650038617025888,0.04836049362075905,1.3750973406465223,-0.030436493316378987,2.1848898780488817,1.563896158363224
2020_2023_to_2024,base__risk_defensive__defensive,base,risk_defensive,defensive,0.45,0.35,0.2,-0.25,0.2,25,3,0.1,0.15,0.5,2020-02-04,2023-12-29,954,0.170997496426609,0.04257936076153768,0.06449094714583702,0.660237795318009,-0.08178087854086347,0.520651789528796,2024-01-02,2024-12-31,243,0.06806914496826155,0.07067732443595465,0.05562097360682691,1.2706955641509972,-0.03695786623527375,1.9123756762910187,0.8311699282981375
2020_2023_to_2024,mom_heavy__risk_light__balanced,mom_heavy,risk_light,balanced,0.35,0.45,0.2,-0.15,0.1,20,3,0.12,0.18,0.6,2020-02-04,2023-12-29,954,0.3316434008933502,0.07859199318278298,0.07420483304762197,1.0591222964189608,-0.0639848525380955,1.2282906041862118,2024-01-02,2024-12-31,243,0.06750675222424696,0.07009268382926881,0.04716640928515464,1.4860720773868636,-0.026639314474916298,2.631174458159139,1.7651553227180359
