,基线LGB多头,"CDaR floor12%/yr, W36, 3腿","CDaR floor19%/yr, W36, 3腿","CVaR floor19%/yr, W36, 3腿"
2023-09-28,2.0856698633652293,1.7335571581645917,1.921440505539516,1.8805846474351582
2023-10-31,2.2166442959782544,1.8560147106988842,2.0551155729162742,2.011417363090888
2023-11-30,2.235862569944991,1.842342422095876,2.0609202544305267,2.017098618932846
2023-12-29,1.7861203662136358,1.6660459495792683,1.707604710514108,1.6712956723655314
2024-01-31,1.7268829293359276,1.7294029477447985,1.688299967268289,1.652401408330213
2024-02-29,1.9293304992504126,1.782928427449432,1.8392637582450762,1.8001552353740002
2024-03-29,1.859418738257585,1.7620981522521788,1.8021389533028038,1.763819820158295
2024-04-30,1.8685843557366615,1.770736929801346,1.81099095629653,1.7724836017729604
2024-05-31,1.7109050780261534,1.636803208281495,1.6684493425325069,1.6329728702364785
2024-06-28,1.7457387340920125,1.670066761065084,1.7023778631992297,1.6661799640159167
2024-07-31,1.730004193161431,1.636630535247038,1.6748354839611346,1.6392232223246814
2024-08-30,2.1359777353486837,1.9880138881976355,2.0461787074212023,2.0026705229667585
2024-09-30,2.371577168306937,2.0426435424073697,2.2180807206294584,2.1709173599635676
2024-10-31,2.59347877703013,2.131203031904992,2.4017934847816163,2.3507238140894153
2024-11-29,2.431448798829009,2.1264183466137077,2.283048948986631,2.234504159737953
2024-12-31,2.467347771753946,2.1154956070341706,2.2980309862341297,2.249167631958612
2025-01-27,2.689986375442021,2.134428887522033,2.4555576418628156,2.403344776628978
2025-02-28,2.7278291774943755,2.16601654925706,2.4920899152933265,2.4391002586220334
2025-03-31,2.774136060768829,2.137516352411443,2.511043745749371,2.457651071413884
2025-04-30,2.994963747214835,2.2050541584777577,2.6412533627789596,2.585092023089729
2025-05-30,3.266014936492911,2.255620091577167,2.779025977788592,2.7199351599412562
2025-06-30,3.5810822298782514,2.3523304778083927,2.973519456193925,2.910293096515984
2025-07-31,3.789078116284733,2.437273335656433,3.1215132726481327,3.055140099705193
2025-08-29,3.8746697872352858,2.421780594803453,3.109562687169345,3.0434436210826012
2025-09-30,4.012500564603305,2.466029439372412,3.1981235657588116,3.1301214171842613
2025-10-31,4.05902787629355,2.4659445647942757,3.1980497631803773,3.1281846381531806
2025-11-28,4.026358437424073,2.442785820824454,3.1587676825826945,3.089643070415051
