dt,中证1000,指增(中证1000域),超额净值
2021-10-29,1.1860225777936677,1.5114956707860772,1.2738298977854072
2021-11-30,1.179548429401286,1.5148486466329107,1.2836091184413125
2021-12-31,1.0268002884402005,1.3087648877293707,1.275207459183437
2022-01-28,1.0925962548422479,1.3377192581315813,1.2217058639540308
2022-02-28,0.9972104292602172,1.223712020290179,1.2242432287047724
2022-03-31,0.8444242968901968,1.0517837801847845,1.239810984782878
2022-04-29,0.9355527286151436,1.20372727672882,1.2851196916565741
2022-05-31,1.0301164377782444,1.3248585888671232,1.284544333288618
2022-06-30,1.0480672312464905,1.4015275614060936,1.3364958878039246
2022-07-29,0.9940706896427318,1.3642308142848922,1.3697861493206758
2022-08-31,0.9019078019186837,1.2933679870610846,1.425631207385566
2022-09-30,0.9266103166701735,1.3395935599767423,1.4375370601072557
2022-10-31,0.9704459234261061,1.3577276020877485,1.388990693037897
2022-11-30,0.9249908224241785,1.314106533132148,1.409424688827322
2022-12-30,1.002100866012694,1.4418546365018063,1.4289450246506512
2023-01-31,1.0242327760131078,1.486475087339995,1.4416069858337017
2023-02-28,1.0124869514971928,1.4554769901975462,1.428076782886036
2023-03-31,0.9900303474785559,1.4666282418854613,1.4706923458471957
2023-04-28,0.9662259319638659,1.455842125076804,1.4952378538408473
2023-05-31,0.9721732072509403,1.4518207415652804,1.4819042215695308
2023-06-30,0.9594817206102952,1.4729271207934818,1.5227938525155376
2023-07-31,0.8988789442040204,1.3786344212336308,1.5214915159862623
2023-08-31,0.8951460673958759,1.388730168220755,1.5389518770518342
2023-09-28,0.8790064922605757,1.3314479320883525,1.5032207670439686
2023-10-31,0.8953819675397278,1.3807871437040344,1.5309210397485564
2023-11-30,0.8669160945008317,1.3571548412154482,1.5533900342463074
2023-12-29,0.7046128196855577,1.1002651316437053,1.5501801782435685
2024-01-31,0.7870119153133207,1.2150988034793075,1.5306893249905549
2024-02-29,0.8012447045792458,1.2583789088005266,1.5575284278209394
2024-03-29,0.809515934966365,1.2732402244748575,1.5598443366011272
2024-04-30,0.7885735389247753,1.2507467150089635,1.5726411727209637
2024-05-31,0.720951334330436,1.1460538392480681,1.5758623636067222
2024-06-28,0.7199344015005723,1.1376302715594417,1.566502497837336
2024-07-31,0.6816836791116018,1.0979349219116563,1.5950721032123774
2024-08-30,0.8406447407152604,1.3648058812767256,1.6108272530016075
2024-09-30,0.9007001757765303,1.4206752990269735,1.5616906845067833
2024-10-31,0.9113709023209952,1.4296665970472464,1.5530728757726224
2024-11-29,0.8772948173091802,1.3917173714098088,1.569917210832603
2024-12-31,0.8608542559728605,1.3569780650411791,1.5601501247303156
2025-01-27,0.9233412884594909,1.4840464555989739,1.5929967034520316
2025-02-28,0.916896001757618,1.449416486111316,1.566944144477714
2025-03-31,0.876175690534352,1.3973191468156398,1.5802120602056506
2025-04-30,0.8874321915933256,1.4311456326289314,1.5981645669063922
2025-05-30,0.9359700450993362,1.4634449567380416,1.5468221574258731
2025-06-30,0.9808831058830872,1.5300617825534175,1.543009209018628
2025-07-31,1.095371394736776,1.6584661516588128,1.4924007138822755
2025-08-29,1.1154399883728616,1.6936796816230169,1.4967455702103791
2025-09-30,1.1053843397939833,1.7096381091832196,1.524341521140401
2025-10-31,1.079988260949146,1.6410693788540465,1.4982260830323082
