dt,基线多头,静态全对冲,动态对冲,中证1000
2021-09-30,1.7642130837789491,1.1435558204008687,1.5656196207812538,1.1251555499490542
2021-10-29,1.9812510680286424,1.1846948606040688,1.7582261317069536,1.227075807214349
2021-11-30,1.9873514753111092,1.1853456833778273,1.7636398299863751,1.2203775613180645
2021-12-31,1.7871775529766776,1.192341287758482,1.5859990317987585,1.0623421647921454
2022-01-28,1.83750855790422,1.1499402181150729,1.5295990261190926,1.1304156063065833
2022-02-28,1.7377271390432671,1.167408816610767,1.55283497423688,1.031728076141167
2022-03-31,1.4791957551287753,1.1425673522181568,1.5197919697887077,0.8736533731638708
2022-04-29,1.68027493283625,1.1809983612176744,1.5709111784331293,0.9679361431656746
2022-05-31,1.8392946202785085,1.1790565486756979,1.56832826627272,1.0657731000053627
2022-06-30,1.9695915070815666,1.2358542380864623,1.6794297115374435,1.084345245930411
2022-07-29,1.9253426446882105,1.2550580694659472,1.6416996269295714,1.0284796569308547
2022-08-31,1.7876801745071618,1.2585152614092334,1.5243177019190082,0.9331266240572544
2022-09-30,1.8729112904212049,1.278954386398963,1.5490736353501953,0.9586841967345783
2022-10-31,1.96606336662885,1.2799415750913994,1.5502693214456742,1.0040371381978264
2022-11-30,1.8731635086058223,1.262834030968966,1.5295486093956787,0.9570086449816934
2022-12-30,2.0620938782288745,1.2883024452115899,1.5603960340239398,1.0367877914771424
2023-01-31,2.153968975515166,1.3112152894161861,1.6299183476997001,1.0596857799618757
2023-02-28,2.1190906819666457,1.293600306425865,1.6035257806583885,1.0475333830605649
2023-03-31,2.0378132573320773,1.259746885067834,1.542022775196586,1.0242994615320864
2023-04-28,2.1054901584012042,1.3190006572854722,1.5932342011836502,0.9996710750832446
2023-05-31,2.1842045602820885,1.3514945664613556,1.6324839219045761,1.0058242105802
2023-06-30,2.2784297752290805,1.4154125398762853,1.709691086853678,0.9926934182108924
