dt,V1多头全A,V2市场中性,V3中证800指增,V4多头231,中证500,中证800
2022-01-28,2.785446494311002,2.0057761454711427,1.4930374790298118,1.7491262261481373,1.2166942909368241,1.3002241833200174
2022-02-28,2.5851549926717694,2.0133546602653114,1.3999503663015511,1.6690583258178828,1.1228948033705863,1.1987319966948116
2022-03-31,2.2511568296546844,2.024048669859461,1.333467303325189,1.4158568912292946,0.9991432215438055,1.1224325712743792
2022-04-29,2.453336722701415,2.0063685111568863,1.3499604682038382,1.6067653428047262,1.069861175615083,1.1568399513609529
2022-05-31,2.6640357627864284,1.9932079144487915,1.476821768768211,1.7610727806292314,1.1458174440519753,1.2610098030705965
2022-06-30,2.6889736525690364,1.9764195993391207,1.3787281008121595,1.8874503625095025,1.1174184160854197,1.1861641995312848
2022-07-29,2.653581810550401,2.0368743810034555,1.3600672915164695,1.846725518079157,1.0928534095734774,1.1601752977725643
2022-08-31,2.437165240294425,2.034750511520814,1.2871540867122904,1.7146570982208809,1.0144397173092674,1.0809351871835016
2022-09-30,2.51416296939882,2.0447562177235445,1.1855818249927346,1.790855439715046,1.0309580011674617,1.021890456199552
2022-10-31,2.7445309936349203,2.141218666415254,1.3047245967637697,1.8855075136971469,1.0929246006553122,1.1118682371649224
2022-11-30,2.656819405914342,2.157521276456969,1.3139814204671523,1.7956239226729045,1.041141521479467,1.1020832606728341
2022-12-30,2.916495130526511,2.203061323219847,1.3983158227647232,1.9727018242080454,1.1165371379551783,1.1829235193713126
2023-01-31,3.009751842703933,2.225165370166473,1.3657500192393799,2.0646502888342715,1.1286777916490902,1.1676431800832707
2023-02-28,2.9863289648763254,2.225658106806435,1.3742955339911622,2.0330368736775677,1.1255324240758646,1.1628629277255957
2023-03-31,2.904799711033952,2.2039869286741203,1.373225897538653,1.9436872128229323,1.1080322003831884,1.1535129964176307
2023-04-28,2.933359016091543,2.268034000711969,1.3100721846534418,2.007813065985495,1.073689693519729,1.0953556632052743
2023-05-31,2.989358478648544,2.2938123181760517,1.328278920215463,2.082280869201331,1.0649775739215521,1.1022993409812836
2023-06-30,3.0682313675877806,2.3759412378676084,1.4035235259324068,2.1778942292932646,1.080869340752828,1.1429879973157802
2023-07-31,2.9652727760514,2.424847083066116,1.3282140726800304,2.158231611689611,1.0189375379034804,1.0734166938296756
2023-08-31,2.9758495304237425,2.437073139464485,1.3146916017899462,2.171706500912209,1.0103044208774141,1.0550640282142152
2023-09-28,2.9228726503578115,2.427466590454432,1.277555983647313,2.1954787538853644,0.9814496634667952,1.022472876545506
2023-10-31,3.32681040908657,2.7171629732770497,1.2533821508117904,2.3314577901157967,0.9844341853538808,1.0071744431539655
2023-11-30,3.2829004169864175,2.7523334610288233,1.2237974978208155,2.339272127356107,0.9638720350068376,0.9877618302002134
2023-12-29,2.699461115524454,2.7169355711786745,1.1527856399329592,1.875397560396385,0.8338730362978639,0.906537924060884
2024-01-31,2.8473665237317642,2.576170626878255,1.2623477712399618,1.8272420923360677,0.9492368529067964,1.0016082773443213
2024-02-29,2.9544577401604846,2.62573386731002,1.2694062843074454,2.037820105019686,0.9384726193063102,1.0031528319763199
2024-03-29,2.972310934855144,2.611550819375994,1.3243091155773237,1.9858994845419873,0.9659868184652256,1.0248114738643792
2024-04-30,2.928198245884349,2.627263163324626,1.3167772341888124,1.9915439124285008,0.9424456497810642,1.013177227548037
2024-05-31,2.709130891767592,2.6259203953781367,1.2840517572380599,1.8210644341356328,0.8775112165899001,0.9703553026343708
2024-06-28,2.753352439954966,2.6662304315547454,1.2841535068321897,1.8556656675426175,0.8675039874107171,0.963471938536691
2024-07-31,2.666869410015521,2.7029640097180323,1.2716774752726683,1.8368534851910876,0.8235998613815533,0.9259631242170698
2024-08-30,3.290788581310219,2.766760327601289,1.5163284777487658,2.271892602569997,1.0196155397526727,1.126576383208987
2024-09-30,3.5006189923890916,2.7605977044313286,1.4262830146485241,2.491633885090048,1.0476788511712252,1.1077123624946477
2024-10-31,3.7315616885227394,2.9073712360845207,1.4265200514003598,2.72584491313825,1.0389173771572129,1.110651736496358
2024-11-29,3.599419597871816,2.8949475533593643,1.4490449815933828,2.55616105984567,1.0165113600372666,1.10829661847429
2024-12-31,3.5925633665805967,2.9313927702538463,1.4082062616047337,2.589991758687625,0.9922976930538795,1.0768359549241797
2025-01-27,3.889321058814017,2.977089834694226,1.4611740169746046,2.826006096171489,1.0403255758133523,1.1054781340626223
2025-02-28,3.9703243626680207,3.050998488767497,1.4775739093741427,2.873985702220895,1.0399529322204075,1.104798162897805
2025-03-31,3.9018171124710483,3.112476989184479,1.4259850400000247,2.931085093226076,0.9998396869154683,1.0691651039742258
2025-04-30,4.089479638992716,3.2195427563582912,1.4578069330597136,3.1453686821577085,1.006807358707893,1.0857319602443705
2025-05-30,4.3580655880489365,3.2666500859894416,1.5065637472770907,3.401332105028457,1.0501817236692401,1.1178893778958765
2025-06-30,4.602301295153383,3.3025324412316515,1.5664744366443004,3.696269996276287,1.1053867681876333,1.1624978988550108
2025-07-31,4.915702900213862,3.1760277124095118,1.7276595230118557,3.9152386818541727,1.2505382826935707,1.2912023059754865
2025-08-29,4.9004919085289576,3.1071806310648866,1.7557770365024674,3.995894543226181,1.3159463762496595,1.339557617525792
2025-09-30,5.037511809780977,3.212125545883553,1.7783109708184377,4.1472997115953065,1.301501332924294,1.3355501669508845
2025-10-31,4.941237355302342,3.2094340536115187,1.7334295312843409,4.194960109663843,1.248338460511495,1.2968720539718268
2025-11-28,5.004612116781903,3.1414732322463244,1.7761530183542091,4.1657475788357194,1.3253922433321812,1.339796249905269
2025-12-31,,,1.7746127847516076,,,
