dt,指增产品,合成基准,中证1000,超额净值
2022-05-31,1.513197557912921,1.0803112505967634,1.0301164377782444,1.3994089108818308
2022-06-30,1.5695395033855528,1.0939809997442582,1.0480672312464905,1.4338066234189604
2022-07-29,1.546918564249578,1.0469895042005533,0.9940706896427318,1.4747304930276286
2022-08-31,1.4648080211364696,0.9545633264079475,0.9019078019186837,1.5266380101367805
2022-09-30,1.509490655100107,0.9845403727159096,0.9266103166701735,1.5252642680948725
2022-10-31,1.5877975180013943,1.0504574023555924,0.9704459234261061,1.502269787185711
2022-11-30,1.5360307291219668,1.0066644921881025,0.9249908224241785,1.5159201346386855
2022-12-30,1.6651717506622274,1.0865848999989842,1.002100866012694,1.5230194900408802
2023-01-31,1.7167958203718667,1.110845183348338,1.0242327760131078,1.5362319204053305
2023-02-28,1.6904426004241706,1.10011318833823,1.0124869514971928,1.5274921009361566
2023-03-31,1.7045605094420704,1.0857714301768229,0.9900303474785559,1.5601624465955408
2023-04-28,1.6883446242810172,1.062883457573436,0.9662259319638659,1.5782083504598359
2023-05-31,1.6943542203878914,1.0696637942982794,0.9721732072509403,1.573758228132843
2023-06-30,1.69115998890565,1.0682133574098867,0.9594817206102952,1.572925322814063
2023-07-31,1.583113242297155,1.0014208218969325,0.8988789442040204,1.5707833167477177
2023-08-31,1.5780446056411028,0.9992119630377705,0.8951460673958759,1.5692188725826055
2023-09-28,1.5361372286202244,0.9799829928654269,0.8790064922605757,1.5577441365800009
2023-10-31,1.585104380487069,0.998199603411355,0.8953819675397278,1.5784436081857351
2023-11-30,1.5519215834400149,0.9715812405521063,0.8669160945008317,1.5874916145457452
2023-12-29,1.2841744095606238,0.797464968442231,0.7046128196855577,1.5981007392588662
2024-01-31,1.4123019527943692,0.8909555833544043,0.7870119153133207,1.5701970896477784
2024-02-29,1.4575526322717216,0.9004458065692628,0.8012447045792458,1.603781463915209
2024-03-29,1.4574372036562615,0.9098811178034877,0.809515934966365,1.5868492489430304
2024-04-30,1.4288987200137064,0.8936498470260574,0.7885735389247753,1.5840843440083912
2024-05-31,1.3292170532548948,0.820153672397691,0.720951334330436,1.6038561149163661
2024-06-28,1.3182601359019126,0.8186565511090669,0.7199344015005723,1.5935630142770383
2024-07-31,1.2745299078543655,0.7763736997903528,0.6816836791116018,1.6230063017914012
2024-08-30,1.5897317064619956,0.9577003807087281,0.8406447407152604,1.6453264527770868
2024-09-30,1.6761524136957608,1.0096154216788207,0.9007001757765303,1.6455795030108331
2024-10-31,1.7289564470669396,1.0265389139059908,0.9113709023209952,1.6698366714557211
2024-11-29,1.7220932866146557,0.9861250760523474,0.8772948173091802,1.7289480336835477
2024-12-31,1.701846316645776,0.9690165661953404,0.8608542559728605,1.7386163867059712
2025-01-27,1.8334440361616209,1.038965781330147,0.9233412884594909,1.74755402763852
2025-02-28,1.8203748365315628,1.0355281204466926,0.916896001757618,1.740879261771452
2025-03-31,1.759182712299176,0.9958911139655438,0.876175690534352,1.7489951889980768
2025-04-30,1.7653758428760078,1.0153830857046313,0.8874321915933256,1.7209204345512683
2025-05-30,1.8187872654405217,1.0642506104515252,0.9359700450993362,1.6901638114512163
2025-06-30,1.9365934295753486,1.1222079998965275,0.9808831058830872,1.7075951769180342
2025-07-31,2.1497691584959124,1.2420004509828688,1.095371394736776,1.7132824720478703
2025-08-29,2.1934939146637635,1.2589384927108573,1.1154399883728616,1.7247641542547747
2025-09-30,2.1876315753335116,1.2564604309872505,1.1053843397939833,1.72354952450087
2025-10-31,2.07590444119306,1.2240058934911622,1.079988260949146,1.680043586713139
2025-11-28,2.1445626693118247,1.2605099967476574,1.1184324744673433,1.6855044280159428
2025-12-31,2.139373785080817,1.2605099967476574,1.2155572169025248,1.6814262597847336
