dt,LGB,质量,混合,混合+降仓
2023-09-28,2.1622429745436573,1.2856243935738676,1.675014943160123,1.6127842462403819
2023-10-31,2.2980259916628736,1.4182353091057156,1.8078065114927322,1.7406422992774122
2023-11-30,2.3179498437534365,1.4635992410130532,1.8187447888830715,1.7511741942483696
2023-12-29,1.8516958418833354,1.274512597084139,1.5579354419543263,1.500054520530502
2024-01-31,1.7902835666385215,1.358129377873149,1.604868998204202,1.5268461961945379
2024-02-29,2.0001637799215275,1.364425234105455,1.6913895818722156,1.574582981978433
2024-03-29,1.9276852843072652,1.3794630230661282,1.7025374273327192,1.5803022018014565
2024-04-30,1.937187407509789,1.3628479667685847,1.699667713589488,1.5788270134616431
2024-05-31,1.7737191058148334,1.2561136218324482,1.5699590097043965,1.5036324392757057
2024-06-28,1.8098316418537572,1.2627419123526065,1.5684722141413625,1.5027994607677373
2024-07-31,1.7935194242864354,1.217952155201312,1.5296160182691416,1.4661277870119729
2024-08-30,2.2143978455858826,1.4998674248260424,1.873564965276296,1.795800791542427
2024-09-30,2.458647056675551,1.5604294443173452,1.935518093088665,1.8204684939800573
2024-10-31,2.688695542742034,1.6643506505650243,2.102461720641671,1.885813002784211
2024-11-29,2.5207168092978307,1.6031777790182318,2.0039801519152407,1.8495931953613207
2024-12-31,2.5579337741510475,1.5817380437197581,2.011264426846786,1.852515875211314
2025-01-27,2.78874631315471,1.6556304655119465,2.1448607662449013,1.9062294507369606
2025-02-28,2.8279784727174535,1.6891132736954135,2.1932508530548778,1.9262597918319544
2025-03-31,2.8759854630815207,1.6394676947581186,2.1885714360527633,1.9224859717556417
2025-04-30,3.1049205989769915,1.7094875016271491,2.323260624863913,2.028121979370005
2025-05-30,3.3859231392412426,1.778537242123069,2.459213287994928,2.1468037068090218
2025-06-30,3.7125577872251463,1.8766428303020228,2.6081838008866027,2.276849543354513
2025-07-31,3.9281900174337867,2.015701493622596,2.7904607907428303,2.435970722228912
2025-08-29,4.016924093925487,2.01609596610896,2.800785704570583,2.4449839962650066
2025-09-30,4.159815179074998,2.0578170637149173,2.8922729758469585,2.5248490547618645
2025-10-31,4.208050690645517,2.0334251388802698,2.889740573093325,2.522638359315002
2025-11-28,4.1741818286944525,2.038098687273603,2.9060363382600984,2.5368639692838886
