,① base 微盘多头,② +分行业中性,③ +CDaR减震,④ +行业中性+CDaR
2024-01-31,1.53346585863567,1.5331698369672186,1.311422963769109,1.372324567404414
2024-02-29,1.7132385759136173,1.6926560382018043,1.4371465431528323,1.476990280134812
2024-03-29,1.651157182451222,1.6355440548645086,1.4026843578456831,1.4534312666309073
2024-04-30,1.6592962179577473,1.6440111725114135,1.4095799440405594,1.4608228839544788
2024-05-31,1.5192775838767567,1.5130021559155955,1.29676549529685,1.3519344739371477
2024-06-28,1.550209745751212,1.5439743318218841,1.3231430488905747,1.379527998644454
2024-07-31,1.5362375297379174,1.5264993984507806,1.3039392489082056,1.3535674211727151
2024-08-30,1.8967405817270526,1.8793987306155626,1.5969922258917666,1.64779637203387
2024-09-30,2.1059520346970215,2.0471838423738964,1.741046692675792,1.7548376016721217
2024-10-31,2.302999868787432,2.2174621877846414,1.8646056382388423,1.8735770748124416
2024-11-29,2.1591178282472265,2.089647757508549,1.7832350099829841,1.794051119541606
2024-12-31,2.1909959876784777,2.1056241749617666,1.7884049273813263,1.7927893401290935
2025-01-27,2.388698270659102,2.288191895215046,1.8797660082032503,1.9041903560945093
2025-02-28,2.422302543396172,2.313689905816249,1.915435752510655,1.93514578988135
2025-03-31,2.463422889955222,2.3322948664166177,1.9076819850393054,1.9254025875515763
2025-04-30,2.6595170849083645,2.502970097615922,1.983246529847345,2.001875666140739
2025-05-30,2.900209570565375,2.7133379371206954,2.042088411769661,2.065446906508156
2025-06-30,3.179988199082458,2.913881431662224,2.1524722862930283,2.170657681373482
2025-07-31,3.3646878015411237,3.0822564594620956,2.2496394486845133,2.2700978754172776
2025-08-29,3.4406928989085084,3.1308749927144714,2.231783888504964,2.249488265946861
2025-09-30,3.563086135747296,3.2375934319545823,2.282752507233099,2.3018718993405876
2025-10-31,3.6044022219503877,3.2761046542257954,2.2826626409589923,2.2978836325166836
2025-11-28,3.575391877197953,3.253743658238298,2.255865807323878,2.270376269941829
